Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
string,@livia_faradila @junex3119 @CACHACAESA @17joshuahong @sunscentskies @Alfarsyzayn @NusantaraLensa @lensanusantara1 @bigwin1879 @THRagc @dear_amma @HeraldJateng @syrfhdytllhx @bungacityx @humansmaniwa @Pasjabar1 @BAEJIN00LS @CocoJakpus @Aldi_Tanaka @tahuubulatttt @ndogulaa @Cempluk_Yuni @mbaay12 @moonriel_ @JINNthr @arditoprasmanan @babyoctop @Cimol_89 @nakbaikkkkk @z_cuo @athrzz__ @lovejeonss @rezekidoaibu117 @agtesther_ @muhammad_hak1m @kbbsmylf @jaemcityx13 @emangenaak @JacJacquel @seaIgie @sasminto_hadi15 @AlgySeptiansyah @chanahaechan @vyneral @hanya_elfii @tempodotco @jinsbeloved @MediaKomando @AmelChloe @Okyindriyani3 @0xRamadhanwins @budibigwin_ @acehnesseblood1 @lapaspagaralam @AzaliaBigBigwin @kxxclypi @Johnny_yyyy @aprlmiXxcty @Mochissufe @_sasarswt @sbyfess @ZnnIlove @bundajelitaaWIN @yando201 @OxsobatAmbyar @erwinbigwin2022 @ninit_akaMamLor,time,discrete,discrete,continuous,continuous,@masmasjawabgt @messboyx @bonngbudi @resaalfny @THRagc @missufe @SUNGJIN93LS @bakwanademm @Cempluk_Yuni @kbbsmylf @Prambors @milankaash @Maymytan @masgemas @XLAxiata_Tbk @sunfloweeeeers @__mxxnlightbae @moonriel_ @coffebeer_ @sophiestimiawed @chitaglorya__ @seaIgie,"Livia\ Putri\ Faradila eka192\ ❤️ 체사 슈아 ci.\ ✨ Oma\ Afharsyzayn Lensa\ Nusantara Arik\ Kurniawan Denku/freeetag BOLOT\ DAN\ ANDRE\ BTS dear_amma HeraldJateng Maxalmena Hariinimenang? secret\ admirer Pasjabar 배. Coco#jakpus Nandayo\ Koitse Tahu\ Bulat Zain Yuni\ Wulandari Triesnaay (ra)俊\ |\ lagi\ jualan\ balon kafin dit. 𝓙𝓾𝓶𝓪𝓷𝓳𝓲,\ 𝓑𝓮𝓮 Citywitiw_99\ |\ FREE\ TAG\ |\ Follow\ back ✨ cu\ iuiu atha²³\ •\ ﻌ\ • 🍓 🌺🌺🌺rezekidoaibu117🌺🌺🌺 esther Muhammad\ Hakim ayin. AprilBigwin🏆 Eprel jacqueline\ 🆔️ rin 🥳\ tim\ hore\ 🥳🥳 Asep ren Hera 🔥DatVilla\ punya\ super\ bigwin🔥 TEMPO.CO Pril🌵 Media\ Komando\ Bhayangkara #bojakarta Oky\ indriyani\ ||\ FREE\ TAG\ 🏆 Rizky\ 🌊\ Barca budi JuliandiDimas\ Real LAPAS\ KELAS\ III\ PAGARALAM Doa\ kk\ Win\ $2000\ Aminnnn Fina\ Aprillia🕊 Johnson\ Baby April∆BigWInx\ pliss\ 🍀 𝓜𝓸𝓬𝓙𝓲𝓮\ ☄️🍀 sasa 🦈\ SUROBOYOFESS\ 🐊 IloveZNN fikilaelatul\ M rido SoBat\ ambyar!!!\ warsindia erwin❌ ᵂᴵˢᵀᴱᴿᴵᴬ\ ♥\ U\ 🅞︎🅛︎🅦︎🅔︎🅘︎🅢︎",string,continuous,continuous,continuous,continuous,False True,continuous,continuous
meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"@XLAxiata_Tbk Nama takjil nya : A. Kolak 
#JadiLebihBaik 
#BersamaSebarkanKebaikan
💙25",@Cempluk_Yuni,2022-04-10 05:32:12,in,,0.0,0.0,@Cempluk_Yuni,Yuni Wulandari,smile always 🌠,15910.0,837.0,454.0,0.0,False,,
