Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
string,@walangsangit88 @najlaurora @KhairunnisaAzk3 @Lee_minhoo21 @MetlandTambun_ @Hrshsbllh @erdwdn @155000k @pedang_manthili @pweyukk @tiyvm @ruitakahashi14 @itsaffaf @anggaimaginer @pram_mit @AZLINAULIN @swurspen @BalkonJakarta @yuraa48 @Heriitsvirgo1 @pantau_com @danialhafiz @b_sinchan06 @firchv @itsayurac @saye_ipin @JogjaTrans2 @Subuhlt @895jizfm @mango72743750 @sabhatansabiz @Khalfani_co_id @republikaonline @AhmadSimii @aufrellia @24hourindonesia @saye_upin @chachaaakkk @DesyDianaa @21BeritaTerkini @choo_sijie @meowzarellaaa @Rakhatra @leeijeno @Rinki24112 @phik_euy @kapol_id @BOETIX @ffllooww_ @megasukma88 @Pamuji66398358 @RikyTrihartant6 @EmperorMerah @IDCorner @hs_shlsbllh @RonaldLampard8 @gitasweetie @Jabar24Jam @zgdxsmillings @pijatgiobsd @sikacangkoroo @MangSiHejo @lolycat22 @Roki24112 @AraPuisi1 @zonasubang @riona80772461 @YaQueenwin @sechaaay @TINTAHIJAUcom @ryolandafit @dierwinal @misscrownn @maliavkmwt @Harian_Jogja @prasetyoseven @reportaseSMR @0802fathul @humassektelaga1 @yulitasaarii___ @SemuPetualang @whaliennitsme @cnbcindonesia @Paulus_willy @Aryprasetyo85 @RediAhnaf @lilteletubies @Nusakartun @bicaraindoid @Milaamld @34mamiah @fiona_fuu,time,discrete,ID AU,continuous,continuous,@chitaglorya__ @durenkalibata @front_runner_42 @yuraa48 @missufe @counthingz @sbyfess @andori @HYUNJlMN @misallnya @ohmybeautybank @reneziv @risasapn,txtdariwalangsangit Naa\ 🥀 KhairunnisaAzka Joker Metland\ Tambun hrs.hsbllh. sea.sky Hanafi Tyang\ Alit👉TetapAssalamualaikum🇮🇩\ 🇵🇸 recca ricca rul•るっちゃん afa 𝒂𝒏𝒈𝒈𝒂𝒔𝒂𝒑𝒕𝒓\ ➐ Pram L. surspen Balkon\ Jakarta Alfa\ Canis\ Mayoris Heri\ its\ virgo Pantau.com danial\ hafiz Bukan\ Sinchan06 🦋 moon. erick Sewa\ Mobil\ Jogja\ 089522290308 فجر 895\ JIZ\ FM mango sabhatansabiz Khalfani.co.id Republika.co.id Ahmad ven 24\ Hour\ Indonesia nanin 🐯 Desydesy Berita\ Terkini choo_sijie cz’s 🥗 Lee. Rinki fika_rz KAPOL.ID boetix flow Sukma\ Mega Pamuji Riky\ Trihartanto langit\ emperor\ merah IDCorner\ 🇮🇩 H.S\ ☘️ ℱ𝓡Ãℕ𝓚 Xiboba Kabar\ Jabar Smilling\ 🍭 gio\ bsd\ closed\ tgl\ 20\ april kk Mang\ Kopi Grunt\ 97 Roki Sun\ Flowers\ 🌻 SUBANG\ KIWARI riona Berkah\ Ramadhan\ 🍀🍒\ |\ freetag Cha\ ⟗ TINTAHIJAU.com Yolan Adipati\ Erwin Miss\ Crown\ 👑 A Harian\ Jogja Ngudiono\ Prasetyo\ (Rudy)\ 🏆🇮🇹 #MenujuPilkada2024 Fathul @humassektelagasari 𝐇𝐚𝐫𝐭𝐚\ 𝐓𝐚𝐡𝐭𝐚\ 𝐘𝐮𝐥𝐢𝐭𝐚 Petualang\ semu ty CNBC\ Indonesia P\ W\ S Ary\ Prasetyo🇲🇨🇲🇨 Bang\ Bara crybaby Nusa🌲 Bicara\ Indonesia Mila mamiah\ 6 Fiona\ Fuu,string,continuous,continuous,continuous,continuous,False True,continuous,continuous
meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"Pertamina Kerahkan Ratusan Motor Untuk Bantu Masyarakat Yang Kehabisan BBM Saat Macet Dijalur Mudik
Terimakasih pertamina, mudik jadi lancar deh 👍
https://t.co/ZOhQRVq03I",@Nusakartun,2022-04-10 09:35:24,in,,0.0,0.0,,Nusa🌲,,1174.0,4.0,4.0,0.0,False,,
